,Mean Fitness,Best Fitness,Best Mate_prob,Best Mutate_prob,Best Threshold
74,-369346119.88938713,-369346119.88938713,0.53515625,0.31640625,0.6328125
75,-369346119.88938713,-369346119.88938713,0.53515625,0.31640625,0.6328125
76,-369346119.88938713,-369346119.88938713,0.53515625,0.31640625,0.6328125
77,-297847450.94036245,-297847450.94036245,0.53515625,0.83203125,0.6953125
78,-255985411.24742055,-255985411.24742055,0.53515625,0.58203125,0.6953125
79,-255985411.24742055,-255985411.24742055,0.53515625,0.58203125,0.6953125
80,-255985411.24742055,-255985411.24742055,0.53515625,0.58203125,0.6953125
81,-255985411.24742055,-255985411.24742055,0.53515625,0.58203125,0.6953125
82,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
83,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
84,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
85,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
86,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
87,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
88,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
89,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
90,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
91,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
92,-287309404.05242467,-287309404.05242467,0.53125,0.11328125,0.6640625
93,-331359884.45684576,-331359884.45684576,0.5078125,0.11328125,0.91796875
94,-331359884.45684576,-331359884.45684576,0.5078125,0.11328125,0.91796875
95,-305878245.92030907,-305878245.92030907,0.5078125,0.23828125,0.98046875
96,-305878245.92030907,-305878245.92030907,0.5078125,0.23828125,0.98046875
97,-329683787.05882454,-329683787.05882454,0.5078125,0.23828125,0.8828125
98,-329683787.05882454,-329683787.05882454,0.5078125,0.23828125,0.8828125
99,-329683787.05882454,-329683787.05882454,0.5078125,0.23828125,0.8828125
100,-257785532.93924356,-257785532.93924356,0.5,0.17578125,0.2578125
101,-257785532.93924356,-257785532.93924356,0.5,0.17578125,0.2578125
102,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
103,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
104,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
105,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
106,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
107,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
108,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
109,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
110,-267014988.1634977,-267014988.1634977,0.515625,0.18359375,0.2578125
111,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
112,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
113,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
114,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
115,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
116,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
117,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
118,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
119,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
120,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
121,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
122,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
123,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
124,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
125,-348980452.93339515,-348980452.93339515,0.0859375,0.18359375,0.3828125
126,-279474979.5605602,-279474979.5605602,0.578125,0.68359375,0.3828125
127,-279474979.5605602,-279474979.5605602,0.578125,0.68359375,0.3828125
128,-209935980.35511756,-209935980.35511756,0.5859375,0.68359375,0.3828125
129,-273757064.9455335,-273757064.9455335,0.5859375,0.68359375,0.9453125
130,-342668505.5568197,-342668505.5568197,0.5859375,0.68359375,0.96875
131,-342668505.5568197,-342668505.5568197,0.5859375,0.68359375,0.96875
132,-431283462.42075586,-431283462.42075586,0.5859375,0.55859375,0.96875
133,-310535827.09501886,-310535827.09501886,0.5859375,0.55859375,0.96875
134,-310535827.09501886,-310535827.09501886,0.5859375,0.55859375,0.96875
135,-310535827.09501886,-310535827.09501886,0.5859375,0.55859375,0.96875
136,-310535827.09501886,-310535827.09501886,0.5859375,0.55859375,0.96875
137,-390309299.85296154,-390309299.85296154,0.5859375,0.5546875,0.96875
138,-284829953.4015014,-284829953.4015014,0.6171875,0.6640625,0.28125
139,-284829953.4015014,-284829953.4015014,0.6171875,0.6640625,0.28125
140,-328771171.9338479,-328771171.9338479,0.5546875,0.6640625,0.28125
141,-258161250.16931558,-258161250.16931558,0.5546875,0.4140625,0.28125
142,-258161250.16931558,-258161250.16931558,0.5546875,0.4140625,0.28125
143,-258161250.16931558,-258161250.16931558,0.5546875,0.4140625,0.28125
144,-303800159.1376629,-303800159.1376629,0.0546875,0.3828125,0.28125
145,-259969955.2846279,-259969955.2846279,0.0546875,0.8828125,0.28125
146,-229025557.64284754,-229025557.64284754,0.0546875,0.88671875,0.03125
147,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
148,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
149,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
150,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
151,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
152,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
153,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
154,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
155,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
156,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
157,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
158,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
159,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
160,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
161,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
162,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
163,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
164,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
165,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
166,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
167,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
168,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
169,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
170,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
171,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
172,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
173,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
174,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
175,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
176,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
177,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
178,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
179,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
180,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
181,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
182,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
183,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
184,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
185,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
186,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
187,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
188,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
189,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
190,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
191,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
192,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
193,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
194,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
195,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
196,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
197,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
198,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
199,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
200,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
201,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
202,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
203,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
204,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
205,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
206,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
207,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
208,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
209,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
210,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
211,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
212,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
213,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
214,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
215,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
216,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
217,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
218,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
219,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
220,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
221,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
222,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
223,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
224,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
225,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
226,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
227,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
228,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
229,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
230,-327481809.33666253,-327481809.33666253,0.0234375,0.01171875,0.0546875
