,Mean Fitness,Best Fitness
72,-11496660.012892723,-11496660.012892723
73,-13052190.792066216,-11496660.012892723
74,-11496660.012892723,-11496660.012892723
75,-11496660.012892723,-11496660.012892723
76,-11496660.012892723,-11496660.012892723
77,-17939700.196796417,-11496660.012892723
78,-11496660.012892723,-11496660.012892723
79,-11496660.012892723,-11496660.012892723
80,-11496660.012892723,-11496660.012892723
81,-11496660.012892723,-11496660.012892723
82,-11496660.012892723,-11496660.012892723
83,-11496660.012892723,-11496660.012892723
84,-11496660.012892723,-11496660.012892723
85,-13134916.551856995,-11496660.012892723
86,-11496660.012892723,-11496660.012892723
87,-11496660.012892723,-11496660.012892723
88,-11496660.012892723,-11496660.012892723
89,-11496660.012892723,-11496660.012892723
90,-11496660.012892723,-11496660.012892723
91,-11496660.012892723,-11496660.012892723
92,-11496660.012892723,-11496660.012892723
93,-11496660.012892723,-11496660.012892723
94,-11496660.012892723,-11496660.012892723
95,-12585770.173693359,-11496660.012892723
96,-11496660.012892723,-11496660.012892723
97,-11496660.012892723,-11496660.012892723
98,-11496660.012892723,-11496660.012892723
99,-11496660.012892723,-11496660.012892723
100,-11496660.012892723,-11496660.012892723
101,-11496660.012892723,-11496660.012892723
102,-11496660.012892723,-11496660.012892723
103,-13076969.062558532,-11496660.012892723
104,-11496660.012892723,-11496660.012892723
105,-13965777.012263298,-11496660.012892723
106,-11496660.012892723,-11496660.012892723
107,-11496660.012892723,-11496660.012892723
108,-11496660.012892723,-11496660.012892723
109,-11496660.012892723,-11496660.012892723
110,-11496660.012892723,-11496660.012892723
111,-11496660.012892723,-11496660.012892723
112,-11496660.012892723,-11496660.012892723
113,-11496660.012892723,-11496660.012892723
114,-11496660.012892723,-11496660.012892723
115,-11496660.012892723,-11496660.012892723
116,-11496660.012892723,-11496660.012892723
117,-11496660.012892723,-11496660.012892723
118,-11496660.012892723,-11496660.012892723
119,-11496660.012892723,-11496660.012892723
120,-13084361.646236181,-11496660.012892723
121,-17320520.04298055,-11496660.012892723
122,-15674483.440789878,-11496660.012892723
123,-11496660.012892723,-11496660.012892723
124,-11496660.012892723,-11496660.012892723
125,-11496660.012892723,-11496660.012892723
126,-11496660.012892723,-11496660.012892723
127,-11496660.012892723,-11496660.012892723
128,-11496660.012892723,-11496660.012892723
129,-11496660.012892723,-11496660.012892723
130,-11496660.012892723,-11496660.012892723
131,-11496660.012892723,-11496660.012892723
132,-11496660.012892723,-11496660.012892723
133,-11496660.012892723,-11496660.012892723
134,-11496660.012892723,-11496660.012892723
135,-11496660.012892723,-11496660.012892723
136,-11496660.012892723,-11496660.012892723
137,-11496660.012892723,-11496660.012892723
138,-11496660.012892723,-11496660.012892723
139,-11496660.012892723,-11496660.012892723
140,-11496660.012892723,-11496660.012892723
141,-17253998.092635214,-11496660.012892723
142,-14069482.62255609,-11496660.012892723
143,-11496660.012892723,-11496660.012892723
144,-11496660.012892723,-11496660.012892723
145,-11496660.012892723,-11496660.012892723
146,-11496660.012892723,-11496660.012892723
147,-11496660.012892723,-11496660.012892723
148,-11496660.012892723,-11496660.012892723
149,-12041472.661422431,-11496660.012892723
150,-11496660.012892723,-11496660.012892723
